student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_status,package_lpa,company_name,has_internship,has_certification,placement_year,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,eligible_for_shortlist,student_intervention,intervention_priority
1,Male,20,BE,Mechanical Engineering,8.4,2,2,2,1,7,0,Yes,Yes,Placed,8.18,Capgemini,1,1,2019,8,74.0,10.56,28.6,Low,0,Maintain momentum and continue interview prep,Track
2,Female,20,BTech,Electrical Engineering,8.6,2,0,5,1,6,0,No,Yes,Placed,8.41,Cognizant,0,1,2020,7,76.0,6.24,40.4,Medium,0,Strengthen projects and communication,Monitor
3,Male,22,BCA,Electrical Engineering,6.62,3,0,1,1,7,0,No,Yes,Not Placed,0.0,Unplaced,0,1,2021,8,51.2,5.848000000000001,69.3,High,0,Improve aptitude; complete one internship; increase DSA score,Immediate
4,Male,24,BCA,Data Science,8.01,0,0,4,4,9,0,No,Yes,Placed,8.69,Capgemini,0,1,2022,13,80.1,8.404,0.9,Low,1,Maintain momentum and continue interview prep,Track
5,Male,24,BCA,Electrical Engineering,9.12,2,1,2,4,6,4,Yes,Yes,Placed,12.08,Adobe,1,1,2023,10,81.19999999999999,9.648,7.3,Low,0,Maintain momentum and continue interview prep,Track
6,Female,22,BSc,Computer Science,6.77,1,3,4,8,6,4,Yes,Yes,Placed,12.82,Microsoft,1,1,2019,14,62.69999999999999,14.308,0.0,Low,0,Maintain momentum and continue interview prep,Track
7,Male,23,BSc,Computer Science,9.36,1,0,4,5,9,0,No,Yes,Placed,9.26,Accenture,0,1,2020,14,88.6,9.344000000000001,0.8,Low,0,Maintain momentum and continue interview prep,Track
8,Male,20,BSc,Computer Science,8.17,2,0,2,10,8,5,No,Yes,Placed,12.51,Meta,0,1,2021,18,71.7,10.468,0.0,Low,0,Maintain momentum and continue interview prep,Track
9,Male,20,BSc,Information Technology,7.32,3,3,4,4,6,5,Yes,Yes,Placed,11.7,Capgemini,1,1,2022,10,58.2,12.928,6.1,Low,0,Maintain momentum and continue interview prep,Track
10,Female,22,BE,Computer Science,8.18,3,0,3,8,7,4,No,Yes,Placed,11.47,Capgemini,0,1,2023,15,66.8,9.272,11.9,Low,0,Maintain momentum and continue interview prep,Track
11,Male,22,BE,Computer Science,7.23,3,2,1,7,6,1,Yes,Yes,Placed,9.25,Accenture,1,1,2019,13,57.30000000000001,12.092,24.6,Low,0,Maintain momentum and continue interview prep,Track
12,Male,23,BCA,Data Science,9.1,2,0,0,6,6,4,No,No,Placed,10.92,Capgemini,0,0,2020,12,81.0,8.440000000000001,11.4,Low,0,Maintain momentum and continue interview prep,Track
